source,url,note,action
,https://redis.io,,a2
redis/redis,https://redis.io/docs/,note,action
https://www.apideck.com/file-storage-api,https://www.apideck.com/connectors/box,Push and pull Box data,action
https://www.apideck.com/file-storage-api,https://www.apideck.com/connectors/dropbox,Push and pull dropbox data,action
https://www.apideck.com/file-storage-api,https://www.apideck.com/connectors/google-drive,Push and pull google-drive data,action
https://www.apideck.com/file-storage-api,https://www.apideck.com/connectors/onedrive,Push and pull onedrive data,action
https://www.apideck.com/file-storage-api,https://www.apideck.com/connectors/sharepoint,Push and pull sharepoint data,action
https://www.apideck.com/file-storage-api,url,Push and pull next data,A19
